name,rgn_id,Year,licenses,numberr
Hawaii,1,2012,47,"513,630"
Hawaii,1,2013,47,"429,193"
Hawaii,1,2014,41,"482,052"
Hawaii,1,2015,40,"475,109"
Hawaii,1,2016,35,"516,319"
Kauai,4,2012,n.a.,n.a.
Kauai,4,2013,n.a.,n.a.
Kauai,4,2014,n.a.,n.a.
Kauai,4,2015,n.a.,n.a.
Kauai,4,2016,n.a.,n.a.
Lanai,2,2012,n.a.,n.a.
Lanai,2,2013,n.a.,n.a.
Lanai,2,2014,n.a.,n.a.
Lanai,2,2015,n.a.,n.a.
Lanai,2,2016,n.a.,n.a.
Maui,2,2012,3,774
Maui,2,2013,3,366
Maui,2,2014,n.a.,n.a.
Maui,2,2015,n.a.,n.a.
Maui,2,2016,n.a.,n.a.
Molokai,2,2012,n.a.,n.a.
Molokai,2,2013,n.a.,n.a.
Molokai,2,2014,n.a.,n.a.
Molokai,2,2015,n.a.,n.a.
Molokai,2,2016,n.a.,n.a.
Oahu,3,2012,41,"263,079"
Oahu,3,2013,37,"207,250"
Oahu,3,2014,39,"282,571"
Oahu,3,2015,47,"236,296"
Oahu,3,2016,46,"208,894"
