rgn_id,habitat,trend
1,coral,-0.0265959528457377
1,saltmarsh,0.0
1,seagrass,-1.0
1,seaice_edge,-0.0731283832090705
1,seaice_shoreline,-0.0841261892839285
1,mangrove,-0.009556
1,soft_bottom,0.0218
2,coral,-0.0265959528457377
2,saltmarsh,0.0
2,seagrass,-1.0
2,seaice_edge,-0.0731283832090705
2,seaice_shoreline,-0.0841261892839285
2,mangrove,-0.009556
2,soft_bottom,0.0218
3,coral,-0.0265959528457377
3,saltmarsh,0.0
3,seagrass,-1.0
3,seaice_edge,-0.0731283832090705
3,seaice_shoreline,-0.0841261892839285
3,mangrove,-0.009556
3,soft_bottom,0.0218
4,coral,-0.0265959528457377
4,saltmarsh,0.0
4,seagrass,-1.0
4,seaice_edge,-0.0731283832090705
4,seaice_shoreline,-0.0841261892839285
4,mangrove,-0.009556
4,soft_bottom,0.0218
